Index,Weather,Advise,Precaution,Image
0,Rain: light rain,Wear the proper footwear to avoid exposing your feet to harmful bacteria and sharp objects,"Protect farm equipment from rain, especially those that are made from iron, are likely to rust. ",https://drive.google.com/drive/folders/1fCbave3Y5-tNgpUcJEEbQ625KjZrrvAr?usp=sharing 
1,Rain: light rain,Prepare equipment such as using fabric plant covering above crop rows,Keep your crops away from rain to avoid microbial growth,
2,Rain: moderate rain,Watch out the water level before going,"Make Sure water areas are fenced like dams, wells, and lakes",
3,Rain: moderate rain,Wear protective equipment to protect ourselves such as N95 respirators,Spray animals frequently for removal of ectoparasites & cut all bushes near their sheds,
4,Rain: heavy rain,Fungicide spray programmes should be maintained after rain,"Keep an eye out for flare-ups of diseases such as gray mold, anthracnose, and leaf spots",
5,Thunderstorm,"Watch out for
flashes of lightning",Canceling or postponing outdoor activities early,
6,Thunderstorm,Check the shelter once 3 months,Look out for water leakage in the animal shelter that will affect the comfort of your animals,
7,Thunderstorm,Best not to feed plants as the rootballs cannot take up any nutrients because of the excess moisture.,"The muddy covering will halt photosynthesis because the sun cannot reach them, as well as harbor oncoming fungus.",
8,Clouds,Wear light-colored clothing to prevent heat stress,"Avoid gardening during the sunâ€™s peak hours, 10 a.m. to 2 p.m.,",
9,Clouds,Monitor temperature and humidity,Water vegetable gardens early in the day when temperatures are cool.,
10,Clouds,Wear a protective mask while pulling them out and keep all areas of your skin covered. ,"The spread of invasive plants such as ragweed, which is highly allergenic",
